"cod_var";"lib_var";"cod_mod";"lib_mod";"type_var";"long_var"
REG;Région;84;Auvergne-Rhône-Alpes;CHAR;2
REG;Région;27;Bourgogne-Franche-Comté;CHAR;2
REG;Région;53;Bretagne;CHAR;2
REG;Région;24;Centre-Val de Loire;CHAR;2
REG;Région;94;Corse;CHAR;2
REG;Région;44;Grand Est;CHAR;2
REG;Région;01;Guadeloupe;CHAR;2
REG;Région;03;Guyane;CHAR;2
REG;Région;32;Hauts-de-France;CHAR;2
REG;Région;11;Île-de-France;CHAR;2
REG;Région;04;La Réunion;CHAR;2
REG;Région;02;Martinique;CHAR;2
REG;Région;28;Normandie;CHAR;2
REG;Région;75;Nouvelle-Aquitaine;CHAR;2
REG;Région;76;Occitanie;CHAR;2
REG;Région;52;Pays de la Loire;CHAR;2
REG;Région;93;Provence-Alpes-Côte d'Azur;CHAR;2
NBARR;Nombre d'arrondissements;;;NUM;8
NBCAN;Nombre de cantons;;;NUM;8
NBCOM;Nombre de communes;;;NUM;8
PMUN;Population municipale;;;NUM;8
PTOT;Population totale;;;NUM;8
