"cod_var";"lib_var";"cod_mod";"lib_mod";"type_var";"long_var"
COL;Code collectivité;975;Saint-Pierre-et-Miquelon;CHAR;3
COL;Code collectivité;977;Saint-Barthélemy;CHAR;3
COL;Code collectivité;978;Saint-Martin;CHAR;3
COM;Code commune;501;Miquelon-Langlade;CHAR;3
COM;Code commune;502;Saint-Pierre;CHAR;3
COM;Code commune;701;Saint-Barthélemy;CHAR;3
COM;Code commune;801;Saint-Martin;CHAR;3
PMUN;Population municipale;;;NUM;8
PCAP;Population comptée à part;;;NUM;8
PTOT;Population totale;;;NUM;8
